기준년월,기초지자체,중분류,소비액(천원)
20220114,천안시 서북구,레저용품쇼핑,31892
20220114,천안시 서북구,대형쇼핑몰,265391
20220114,천안시 서북구,골프장,8474
20220114,천안시 서북구,기타레저,4487
20220114,천안시 서북구,문화서비스,2347
20220114,천안시 서북구,식음료,291275
20220115,천안시 서북구,호텔,3486
20220115,천안시 서북구,기타숙박,20349
20220115,천안시 서북구,레저용품쇼핑,49107
20220115,천안시 서북구,대형쇼핑몰,438565
20220115,천안시 서북구,골프장,10421
20220115,천안시 서북구,기타레저,6070
20220115,천안시 서북구,문화서비스,5295
20220115,천안시 서북구,식음료,390683
20220115,천안시 서북구,관광기념품,133
20220116,천안시 서북구,호텔,1582
20220116,천안시 서북구,기타숙박,12967
20220116,천안시 서북구,레저용품쇼핑,46204
20220116,천안시 서북구,대형쇼핑몰,419583
20220116,천안시 서북구,골프장,8157
20220116,천안시 서북구,기타레저,5755
20220116,천안시 서북구,문화서비스,4761
20220116,천안시 서북구,식음료,286549
20220117,천안시 서북구,호텔,1150
20220117,천안시 서북구,기타숙박,13376
20220117,천안시 서북구,레저용품쇼핑,22869
20220117,천안시 서북구,대형쇼핑몰,142987
20220117,천안시 서북구,골프장,7328
20220117,천안시 서북구,기타레저,3888
20220117,천안시 서북구,문화서비스,2042
20220117,천안시 서북구,식음료,211297
20220117,천안시 서북구,관광기념품,122
20220118,천안시 서북구,호텔,690
20220118,천안시 서북구,기타숙박,13055
20220118,천안시 서북구,레저용품쇼핑,28977
20220118,천안시 서북구,대형쇼핑몰,137635
20220118,천안시 서북구,골프장,9000
20220118,천안시 서북구,기타레저,2721
20220118,천안시 서북구,문화서비스,2569
20220118,천안시 서북구,식음료,239553
20220118,천안시 서북구,관광기념품,194
20220119,천안시 서북구,호텔,2430
20220119,천안시 서북구,기타숙박,14523
20220119,천안시 서북구,레저용품쇼핑,24210
20220119,천안시 서북구,대형쇼핑몰,174399
20220119,천안시 서북구,골프장,5892
20220119,천안시 서북구,기타레저,2738
20220119,천안시 서북구,문화서비스,1733
20220119,천안시 서북구,식음료,242849
20220119,천안시 서북구,관광기념품,140
20220120,천안시 서북구,호텔,1083
20220120,천안시 서북구,기타숙박,14501
20220120,천안시 서북구,여행업,545
20220120,천안시 서북구,관광기념품,721
20220120,천안시 서북구,레저용품쇼핑,23946
20220120,천안시 서북구,대형쇼핑몰,160318
20220120,천안시 서북구,골프장,4508
20220120,천안시 서북구,기타레저,1900
20220120,천안시 서북구,문화서비스,1916
20220120,천안시 서북구,식음료,260408
20220121,천안시 서북구,호텔,2533
20220121,천안시 서북구,기타숙박,13108
20220121,천안시 서북구,레저용품쇼핑,27813
20220121,천안시 서북구,대형쇼핑몰,237025
20220121,천안시 서북구,골프장,7152
20220121,천안시 서북구,기타레저,2766
20220121,천안시 서북구,문화서비스,1758
20220121,천안시 서북구,식음료,298544
20220121,천안시 서북구,여행업,32
20220121,천안시 서북구,관광기념품,191
20220122,천안시 서북구,호텔,4069
20220122,천안시 서북구,기타숙박,22931
20220122,천안시 서북구,레저용품쇼핑,49968
20220122,천안시 서북구,대형쇼핑몰,460161
20220122,천안시 서북구,골프장,8392
20220122,천안시 서북구,기타레저,5082
20220122,천안시 서북구,문화서비스,3971
20220122,천안시 서북구,식음료,410919
20220122,천안시 서북구,관광기념품,430
20220123,천안시 서북구,호텔,2736
20220123,천안시 서북구,기타숙박,12580
20220123,천안시 서북구,레저용품쇼핑,49196
20220123,천안시 서북구,대형쇼핑몰,289894
20220123,천안시 서북구,골프장,9710
20220123,천안시 서북구,기타레저,6086
20220123,천안시 서북구,문화서비스,3873
20220123,천안시 서북구,식음료,292253
20220124,천안시 서북구,호텔,3347
20220124,천안시 서북구,기타숙박,13015
20220124,천안시 서북구,레저용품쇼핑,30820
20220124,천안시 서북구,대형쇼핑몰,185608
20220124,천안시 서북구,골프장,8126
20220124,천안시 서북구,기타레저,1985
20220124,천안시 서북구,문화서비스,2098
20220124,천안시 서북구,식음료,223616
20220124,천안시 서북구,관광기념품,130
20220125,천안시 서북구,호텔,922
20220125,천안시 서북구,기타숙박,13559
20220125,천안시 서북구,관광기념품,235
20220125,천안시 서북구,레저용품쇼핑,28390
20220125,천안시 서북구,대형쇼핑몰,168581
20220125,천안시 서북구,관광유원시설,144
20220125,천안시 서북구,골프장,6305
20220125,천안시 서북구,기타레저,2578
20220125,천안시 서북구,문화서비스,1980
20220125,천안시 서북구,식음료,252379
20220126,천안시 서북구,호텔,991
20220126,천안시 서북구,기타숙박,13659
20220126,천안시 서북구,여행업,235
20220126,천안시 서북구,관광기념품,348
20220126,천안시 서북구,레저용품쇼핑,35322
20220126,천안시 서북구,대형쇼핑몰,179074
20220126,천안시 서북구,골프장,5754
20220126,천안시 서북구,기타레저,3319
20220126,천안시 서북구,문화서비스,1991
20220126,천안시 서북구,식음료,266548
20220127,천안시 서북구,호텔,1132
20220127,천안시 서북구,기타숙박,15780
20220127,천안시 서북구,레저용품쇼핑,29659
20220127,천안시 서북구,대형쇼핑몰,225742
20220127,천안시 서북구,골프장,6430
20220127,천안시 서북구,기타레저,2128
20220127,천안시 서북구,문화서비스,2602
20220127,천안시 서북구,식음료,272792
20220127,천안시 서북구,관광기념품,309
20220128,천안시 서북구,호텔,2106
20220128,천안시 서북구,기타숙박,16102
20220128,천안시 서북구,레저용품쇼핑,41360
20220128,천안시 서북구,대형쇼핑몰,255897
20220128,천안시 서북구,관광유원시설,308
20220128,천안시 서북구,골프장,6996
20220128,천안시 서북구,기타레저,3093
20220128,천안시 서북구,문화서비스,2494
20220128,천안시 서북구,식음료,315204
20220128,천안시 서북구,관광기념품,381
20220129,천안시 서북구,호텔,4110
20220129,천안시 서북구,기타숙박,15608
20220129,천안시 서북구,관광기념품,1279
20220129,천안시 서북구,레저용품쇼핑,66662
20220129,천안시 서북구,대형쇼핑몰,472699
20220129,천안시 서북구,골프장,8438
20220129,천안시 서북구,기타레저,4421
20220129,천안시 서북구,문화서비스,4042
20220129,천안시 서북구,식음료,331180
20220130,천안시 서북구,호텔,2104
20220130,천안시 서북구,기타숙박,11243
20220130,천안시 서북구,레저용품쇼핑,54045
20220130,천안시 서북구,대형쇼핑몰,400671
20220130,천안시 서북구,골프장,9490
20220130,천안시 서북구,기타레저,4859
20220130,천안시 서북구,문화서비스,4249
20220130,천안시 서북구,식음료,266281
20220130,천안시 서북구,관광기념품,70
20220131,천안시 서북구,호텔,2229
20220131,천안시 서북구,기타숙박,6927
20220131,천안시 서북구,레저용품쇼핑,38528
20220131,천안시 서북구,대형쇼핑몰,183609
20220131,천안시 서북구,골프장,4941
20220131,천안시 서북구,기타레저,4209
20220131,천안시 서북구,문화서비스,4269
20220131,천안시 서북구,식음료,197288
20220131,천안시 서북구,관광기념품,122
20220101,천안시 서북구,관광기념품,34
20220101,천안시 서북구,관광유원시설,386
20220102,천안시 서북구,관광기념품,54
20220102,천안시 서북구,관광유원시설,424
20220103,천안시 서북구,관광기념품,73
20220103,천안시 서북구,관광유원시설,1206
20220104,천안시 서북구,관광유원시설,145
20220105,천안시 서북구,관광유원시설,76
20220106,천안시 서북구,렌터카,0
20220106,천안시 서북구,관광유원시설,96
20220107,천안시 서북구,관광유원시설,313
20220108,천안시 서북구,관광유원시설,148
20220109,천안시 서북구,관광기념품,330
20220109,천안시 서북구,관광유원시설,668
20220110,천안시 서북구,관광유원시설,0
20220111,천안시 서북구,관광유원시설,135
20220112,천안시 서북구,렌터카,0
20220112,천안시 서북구,관광유원시설,125
20220113,천안시 서북구,렌터카,0
20220113,천안시 서북구,관광유원시설,127
20220114,천안시 서북구,관광유원시설,129
20220115,천안시 서북구,관광유원시설,990
20220116,천안시 서북구,관광기념품,252
20220116,천안시 서북구,관광유원시설,526
20220116,천안시 서북구,렌터카,0
20220117,천안시 서북구,관광유원시설,42
20220118,천안시 서북구,관광유원시설,200
20220119,천안시 서북구,관광유원시설,27
20220120,천안시 서북구,관광유원시설,158
20220120,천안시 서북구,렌터카,100
20220121,천안시 서북구,관광유원시설,288
20220121,천안시 서북구,렌터카,0
20220122,천안시 서북구,관광유원시설,361
20220123,천안시 서북구,관광기념품,192
20220123,천안시 서북구,관광유원시설,138
20220124,천안시 서북구,렌터카,0
20220124,천안시 서북구,관광유원시설,100
20220125,천안시 서북구,렌터카,0
20220126,천안시 서북구,렌터카,0
20220126,천안시 서북구,관광유원시설,10
20220127,천안시 서북구,여행업,0
20220127,천안시 서북구,렌터카,0
20220127,천안시 서북구,관광유원시설,354
20220128,천안시 서북구,렌터카,0
20220129,천안시 서북구,관광유원시설,330
20220130,천안시 서북구,관광유원시설,208
20220131,천안시 서북구,관광유원시설,38
20220201,천안시 서북구,관광총소비,282172
20220202,천안시 서북구,관광총소비,525701
20220203,천안시 서북구,관광총소비,392766
20220204,천안시 서북구,관광총소비,435171
20220205,천안시 서북구,관광총소비,738097
20220206,천안시 서북구,관광총소비,639718
20220207,천안시 서북구,관광총소비,355775
20220208,천안시 서북구,관광총소비,379113
20220209,천안시 서북구,관광총소비,413136
20220210,천안시 서북구,관광총소비,421242
20220211,천안시 서북구,관광총소비,541322
20220212,천안시 서북구,관광총소비,854302
