축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
입장거봉포도축제,입장초등학교,2017-09-23,2017-09-24,시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장리 54-8,,36.9133,127.22,
입장거봉포도축제,입장초등학교,2018-09-08,2018-09-09,시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장리 54-9,,36.9133,127.22,
입장거봉포도축제,입장초등학교,2019-08-31,2019-09-01,시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장리 54-10,,36.9133,127.22,
입장거봉포도축제,입장거봉포도휴게소,2021-09-06,2021-09-20,시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장4길 19,,36.91362961,127.2197586,
입장거봉포도축제,입장거봉포도휴게소,2022-09-02,2022-09-12,입장거봉포도 휴게소 내 드라이브스루 시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장4길 20,,36.91362961,127.2197586,
입장거봉포도축제,입장거봉포도휴게소,2023-09-16,2023-09-17,입장거봉포도 휴게소 내 드라이브스루 시식코너+판매장 운영,입장거봉포도축제추진위원회,입장거봉포도축제추진위원회,충청남도 천안시 서북구 입장면 하장4길 19,,36.91362961,127.2197586,2022-12-05
천안성환배축제,성환문화회관,2022-10-29,2022-10-29,성환배 판매장 운영(일자 변경 가능),성환청년회의소,성환청년회의소,충청남도 천안시 서북구 성환읍 성진로 15,,36.91253596,127.1366796,2022-12-05
천안성환배축제,성환문화회관,2023-11-04,2023-11-04,성환배 판매장 운영(일자 변경 가능),성환청년회의소,성환청년회의소,충청남도 천안시 서북구 성환읍 성진로 15,,36.91253596,127.1366796,
천안호두축제,광덕쉼터,2021-10-09,2021-10-10,천안호두 드라이브스루 판매 및 홍보영상제작,천안시호두축제추진위원회,천안시호두축제추진위원회,충청남도 천안시 동남구 광덕면 광덕리 403,,36.67384328,127.053876,2022-12-05
천안호두축제,광덕쉼터,2022-10-08,2022-10-09,천안호두 드라이브스루 판매 및 홍보영상제작,천안시호두축제추진위원회,천안시호두축제추진위원회,충청남도 천안시 동남구 광덕면 광덕리 403,,36.67384328,127.053876,2022-12-05
천안호두축제,광덕쉼터,2023-10-13,2023-10-15,천안호두 드라이브스루 판매 및 홍보영상제작,천안시호두축제추진위원회,천안시호두축제추진위원회,충청남도 천안시 동남구 광덕면 광덕리 403,,36.67384328,127.053876,2022-12-05
천안빵빵데이,천안시청,2021-10-10,2021-10-10,,,,,,,,
천안빵빵데이,천안시청,2022-03-26,2022-03-28,,,,,,,,
천안빵빵데이,천안시청,2022-10-09,2022-10-10,,,,,,,,
천안빵빵데이,천안시청,2023-03-25,2023-03-26,,,,,,,,
천안빵빵데이,천안시청 일원,2023-10-21,2023-10-22,,,,,,,,
천안빵빵데이,,2024-04-27,2024-04-28,,,,,,,,
천안빵빵데이,천안종합운동장 오륜문광장 일원,2024-10-12,2024-10-13,,,,,,,,
,,,,,,,,,,,
