기준년월,기초지자체,방문자 구분,방문자 수
2022-01-10,천안시 동남구,전체방문자(a+b+c),210115.0
2022-01-10,천안시 동남구,현지인방문자(a),124226.0
2022-01-10,천안시 서북구,외국인방문자(c),231.0
2022-01-10,천안시 서북구,외부방문자(b+c),78145.0
2022-01-10,천안시 서북구,외지인방문자(b),77914.0
2022-01-10,천안시 서북구,전체방문자(a+b+c),206143.0
2022-01-10,천안시 서북구,현지인방문자(a),127998.0
2022-01-11,천안시 동남구,외국인방문자(c),74.0
2022-01-11,천안시 동남구,외부방문자(b+c),84312.0
2022-01-11,천안시 동남구,외지인방문자(b),84238.0
2022-01-11,천안시 동남구,전체방문자(a+b+c),206948.0
2022-01-11,천안시 동남구,현지인방문자(a),122636.0
2022-01-11,천안시 서북구,외국인방문자(c),222.0
2022-01-11,천안시 서북구,외부방문자(b+c),81380.0
2022-01-11,천안시 서북구,외지인방문자(b),81158.0
2022-01-11,천안시 서북구,전체방문자(a+b+c),208413.0
2022-01-11,천안시 서북구,현지인방문자(a),127032.0
2022-01-12,천안시 동남구,외국인방문자(c),85.0
2022-01-12,천안시 동남구,외부방문자(b+c),87246.0
2022-01-12,천안시 동남구,외지인방문자(b),87160.0
2022-01-12,천안시 동남구,전체방문자(a+b+c),211202.0
2022-01-12,천안시 동남구,현지인방문자(a),123956.0
2022-01-12,천안시 서북구,외국인방문자(c),218.0
2022-01-12,천안시 서북구,외부방문자(b+c),83430.0
2022-01-12,천안시 서북구,외지인방문자(b),83212.0
2022-01-12,천안시 서북구,전체방문자(a+b+c),212857.0
2022-01-12,천안시 서북구,현지인방문자(a),129426.0
2022-01-13,천안시 동남구,외국인방문자(c),81.0
2022-01-13,천안시 동남구,외부방문자(b+c),90024.0
2022-01-13,천안시 동남구,외지인방문자(b),89943.0
2022-01-13,천안시 동남구,전체방문자(a+b+c),212730.0
2022-01-13,천안시 동남구,현지인방문자(a),122706.0
2022-01-13,천안시 서북구,외국인방문자(c),218.0
2022-01-13,천안시 서북구,외부방문자(b+c),85282.0
2022-01-13,천안시 서북구,외지인방문자(b),85064.0
2022-01-13,천안시 서북구,전체방문자(a+b+c),213364.0
2022-01-13,천안시 서북구,현지인방문자(a),128082.0
2022-01-14,천안시 동남구,외국인방문자(c),80.0
2022-01-14,천안시 동남구,외부방문자(b+c),99799.0
2022-01-14,천안시 동남구,외지인방문자(b),99718.0
2022-01-14,천안시 동남구,전체방문자(a+b+c),225501.0
2022-01-14,천안시 동남구,현지인방문자(a),125702.0
2022-01-14,천안시 서북구,외국인방문자(c),225.0
2022-01-14,천안시 서북구,외부방문자(b+c),94123.0
2022-01-14,천안시 서북구,외지인방문자(b),93898.0
2022-01-14,천안시 서북구,전체방문자(a+b+c),224477.0
2022-01-14,천안시 서북구,현지인방문자(a),130354.0
2022-01-15,천안시 동남구,외국인방문자(c),93.0
2022-01-15,천안시 동남구,외부방문자(b+c),123251.0
2022-01-15,천안시 동남구,외지인방문자(b),123158.0
2022-01-15,천안시 동남구,전체방문자(a+b+c),239444.0
2022-01-15,천안시 동남구,현지인방문자(a),116193.0
2022-01-15,천안시 서북구,외국인방문자(c),216.0
2022-01-15,천안시 서북구,외부방문자(b+c),114705.0
2022-01-15,천안시 서북구,외지인방문자(b),114488.0
2022-01-15,천안시 서북구,전체방문자(a+b+c),235924.0
2022-01-15,천안시 서북구,현지인방문자(a),121219.0
2022-01-16,천안시 동남구,외국인방문자(c),75.0
2022-01-16,천안시 동남구,외부방문자(b+c),110518.0
2022-01-16,천안시 동남구,외지인방문자(b),110442.0
2022-01-16,천안시 동남구,전체방문자(a+b+c),222931.0
2022-01-16,천안시 동남구,현지인방문자(a),112413.0
2022-01-16,천안시 서북구,외국인방문자(c),199.0
2022-01-16,천안시 서북구,외부방문자(b+c),94706.0
2022-01-16,천안시 서북구,외지인방문자(b),94507.0
2022-01-16,천안시 서북구,전체방문자(a+b+c),209569.0
2022-01-16,천안시 서북구,현지인방문자(a),114863.0
2022-01-17,천안시 동남구,외국인방문자(c),80.0
2022-01-17,천안시 동남구,외부방문자(b+c),89715.0
2022-01-17,천안시 동남구,외지인방문자(b),89635.0
2022-01-17,천안시 동남구,전체방문자(a+b+c),212835.0
2022-01-17,천안시 동남구,현지인방문자(a),123120.0
2022-01-17,천안시 서북구,외국인방문자(c),199.0
2022-01-17,천안시 서북구,외부방문자(b+c),83027.0
2022-01-17,천안시 서북구,외지인방문자(b),82828.0
2022-01-17,천안시 서북구,전체방문자(a+b+c),210276.0
2022-01-17,천안시 서북구,현지인방문자(a),127250.0
2022-01-18,천안시 동남구,외국인방문자(c),72.0
2022-01-18,천안시 동남구,외부방문자(b+c),92923.0
2022-01-18,천안시 동남구,외지인방문자(b),92852.0
2022-01-18,천안시 동남구,전체방문자(a+b+c),216169.0
2022-01-18,천안시 동남구,현지인방문자(a),123246.0
