,name,X,Y,lat,long
0,매봉산1,227442.580000001,462447.6963999979,36.760223357101125,127.3073403797373
1,매봉산2,227569.00040000118,462303.15720000304,36.758917240450124,127.30875097318616
2,매봉산3,227573.37530000042,461331.69980000146,36.75016324673274,127.30876488486881
3,매봉산4,227970.8155999994,462444.1964999996,36.76017639148215,127.3132560928226
4,매봉산5,228310.0351000009,462121.65210000426,36.757259864566116,127.31704313010196
5,노태산1,211049.4654000001,470733.9615000021,36.83522438655923,127.12386821444888
6,노태산2,211278.9913999997,470898.56250000186,36.83670490610121,127.12644371365691
7,노태산3,211358.26050000172,470568.1775000021,36.83372684120894,127.1273274274544
8,광덕산1,201020.03830000106,449430.6230999995,36.643319293014294,127.01140654383592
9,광덕산2,201816.04360000137,449202.1798999999,36.641259522705674,127.0203073054564
10,광덕산3,203252.27759999968,450994.0567000024,36.657402940202886,127.0363751069717
11,국사봉1,234090.2776000006,464430.96400000155,36.77787893595809,127.38187785269173
12,금북정맥1,217288.0655014338,463819.02694956027,36.77281999399823,127.19364776042569
13,금북정맥2,221068.67067680787,474149.7327498086,36.865833745744254,127.23628091014791
14,금북정맥3,221085.16460698657,474150.5561487954,36.865840797491515,127.23646590769584
15,금북정맥4,224270.19643198512,476098.4077461809,36.883316288381316,127.27224734623398
16,만경산1,204347.56200000085,456148.3269999996,36.70384527583245,127.04865455722434
17,만경산2,205604.1124999998,456299.5844999999,36.70520172021733,127.06271800096454
18,만경산3,205842.72710000072,455960.2215999998,36.70214219329842,127.06538584619884
19,만경산4,206346.72200000007,456730.26469999924,36.709078024050164,127.07103242524211
20,백운산1,220396.51940000057,462843.52230000123,36.76396785105241,127.22843998710552
21,백운산2,220623.59280000068,463085.51180000044,36.766143534440054,127.23098971897217
22,백운산3,221057.24270000122,462037.0452000033,36.756686157828106,127.2358177501112
23,백운산4,221153.6466000015,462055.5229000002,36.75685051802803,127.23689787044988
24,백운산5,221219.14260000084,460879.92809999734,36.74625562510336,127.23759868200361
25,백운산6,221428.09090000112,461462.0116000008,36.75149615876835,127.23995466755191
26,구성산1,214694.66630000062,466590.32279999927,36.79783619084084,127.16465201162144
27,구성산2,214939.02180000115,467058.48029999994,36.80205097823738,127.16739915644366
28,구성산3,214982.65429999866,467112.44879999943,36.80253660386248,127.16788913991132
29,구성산4,215223.35938998585,465916.07467357273,36.791752128135656,127.17056246190357
30,구성산5,216519.15400000103,467093.3020000011,36.80233852021802,127.18510599757646
31,고려산1,216911.0523000015,458737.40479999967,36.72703550957694,127.1893122385933
32,고려산2,217275.2460000012,463812.02240000106,36.772757108817736,127.1935040082361
33,거머산1,229902.8532999996,459632.42820000276,36.734780463995705,127.33478332947999
34,거머산2,229793.6231000023,459804.5119699985,36.73633455699404,127.33356714865562
35,거머산3,230473.61233616155,459840.4371468853,36.73663670015476,127.34118156818508
36,거머산4,230311.35730000027,459304.8894999977,36.73181603696159,127.3393437552068
